   tot%      tot#     self%     self#  function
0.01744     22502   0.00007        90                                "f"
0.01718     22166   0.00001        19                                  "try"
0.01715     22124   0.00001         9                                    "tryCatch"
0.01713     22105   0.00003        40                                      "tryCatchList"
0.01713     22096   0.00021       270                                        "tryCatchOne"
0.01709     22044   0.00352      4540                                          "doTryCatch"
0.01662     21437   0.00336      4329                                            "foo"
0.00486      6270   0.00033       427                                              "dmvnormPseudoinverse"
0.00280      3618   0.00017       219                                                "mahalanobis"
0.00240      3096   0.00003        44                                                  "rowSums"
0.00233      3004   0.00023       293                                                    "is.data.frame"
0.00229      2960   0.00014       178                                                      "pseudoinverse"
0.00205      2647   0.00014       186                                                        "fast.svd"
0.00193      2489   0.00161      2073                                                          "positive.svd"
0.00179      2303   0.00017       222                                                            "svd"
0.00016       204   0.00001         8                                                              "La.svd"
0.00001         8   0.00000         0                                                                "as.matrix"
0.00002        20   0.00000         0                                                              "t"
0.00000         6   0.00000         0                                                              "as.matrix"
0.00002        20   0.00000         0                                                        "t"
0.00021       274   0.00007        89                                                  "sweep"
0.00010       132   0.00002        32                                                    "aperm"
0.00005        64   0.00001         9                                                      "aperm.default"
0.00003        37   0.00002        22                                                        "order"
0.00002        28   0.00000         6                                                          "unlist"
0.00000         6   0.00000         0                                                            "lapply"
0.00000         5   0.00000         0                                                      "array"
0.00002        26   0.00000         0                                                    "match.fun"
0.00001         8   0.00000         4                                                  "rownames"
0.00000         4   0.00000         0                                                    "NROW"
0.00001         7   0.00000         0                                                  "as.matrix"
0.00144      1857   0.00006        78                                                "isSymmetric"
0.00143      1839   0.00029       375                                                  "isSymmetric.matrix"
0.00136      1761   0.00010       129                                                    "all.equal"
0.00107      1386   0.00011       143                                                      "all.equal.numeric"
0.00097      1257   0.00009       119                                                        "attr.all.equal"
0.00074       961   0.00014       181                                                          "all.equal"
0.00072       928   0.00011       136                                                            "all.equal.list"
0.00045       587   0.00012       158                                                              "all.equal"
0.00031       394   0.00010       127                                                                "all.equal.list"
0.00021       274   0.00007        88                                                                  "all.equal"
0.00013       173   0.00007        85                                                                    "all.equal.character"
0.00003        44   0.00000         0                                                                      "attr.all.equal"
0.00003        41   0.00000         0                                                                      "data.class"
0.00002        26   0.00000         0                                                                  "attr.all.equal"
0.00009       112   0.00004        48                                                                "all.equal.numeric"
0.00003        33   0.00000         0                                                                  "attr.all.equal"
0.00001        15   0.00000         0                                                                  "data.class"
0.00012       160   0.00005        59                                                              "attr.all.equal"
0.00008       105   0.00004        46                                                                "all.equal.character"
0.00002        24   0.00000         0                                                                  "data.class"
0.00002        22   0.00000         0                                                                  "attr.all.equal"
0.00007        86   0.00001        17                                                          "mode"
0.00001        17   0.00000         0                                                            "t"
0.00005        67   0.00003        38                                                          "order"
0.00004        50   0.00001        12                                                            "unlist"
0.00001        12   0.00000         0                                                              "lapply"
0.00013       172   0.00001        15                                                "eigen"
0.00001        10   0.00000         0                                                  "rev"
0.00000         5   0.00000         0                                                  "as.matrix"
0.00006        72   0.00001        13                                                ".signalSimpleWarning"
0.00006        71   0.00001        10                                                  "withRestarts"
0.00003        37   0.00001        10                                                    "withOneRestart"
0.00002        31   0.00001        16                                                      "doWithOneRestart"
0.00002        21   0.00000         3                                                        "simpleWarning"
0.00000         5   0.00000         2                                                          "structure"
0.00000         2   0.00000         0                                                            "%in%"
0.00002        21   0.00001        11                                                    "makeRestartList"
0.00001        17   0.00000         4                                                      "makeRestart"
0.00000         6   0.00000         2                                                        "structure"
0.00000         2   0.00000         0                                                          "%in%"
0.00001        10   0.00000         0                                                "NCOL"
0.00001         7   0.00000         0                                                "NROW"
0.00000         1   0.00000         0                                                "matrix"
0.00309      3983   0.00039       509                                              "deltaTree"
0.00139      1796   0.00078      1004                                                "rescaleTree"
0.00136      1754   0.00030       389                                                  "diag"
0.00054       696   0.00013       174                                                    "vcv.phylo"
0.00017       218   0.00010       133                                                      "reorder"
0.00011       141   0.00001         8                                                        "reorder.phylo"
0.00001         8   0.00000         0                                                          "match.arg"
0.00007        91   0.00000         3                                                      "prop.part"
0.00000         3   0.00000         0                                                        ".uncompressTipLabel"
0.00001         9   0.00000         0                                                      "numeric"
0.00004        54   0.00002        25                                                    "sapply"
0.00003        41   0.00001         9                                                      "simplify2array"
0.00001        18   0.00000         5                                                        "unique"
0.00000         6   0.00000         4                                                          "unlist"
0.00000         4   0.00000         0                                                            "lapply"
0.00000         3   0.00000         0                                                          "unique.default"
0.00000         2   0.00000         0                                                      "lapply"
0.00039       499   0.00002        32                                                "branching.times"
0.00001        12   0.00000         0                                                  "names<-"
0.00001        10   0.00000         0                                                  "numeric"
0.00001        10   0.00000         0                                                  "which"
0.00211      2724   0.00007        93                                              "phylogMean"
0.00186      2397   0.00004        46                                                "try"
0.00181      2332   0.00001        18                                                  "tryCatch"
0.00177      2286   0.00006        82                                                    "tryCatchList"
0.00176      2268   0.00019       239                                                      "tryCatchOne"
0.00166      2142   0.00063       815                                                        "doTryCatch"
0.00149      1919   0.00061       783                                                          "solve"
0.00084      1090   0.00023       295                                                            "solve.default"
0.00017       214   0.00001        14                                                              "diag"
0.00001        14   0.00000         0                                                                "array"
0.00003        37   0.00000         5                                                              "colnames"
0.00000         5   0.00000         0                                                                "NCOL"
0.00002        21   0.00000         0                                                              "as.matrix"
0.00001        18   0.00000         0                                                              "rownames<-"
0.00001        16   0.00000         0                                                              "colnames<-"
0.00001        14   0.00001         7                                                              "rownames"
0.00001         7   0.00000         0                                                                "NROW"
0.00000         1   0.00000         0                                                              "ifelse"
0.00001        14   0.00000         0                                                            "t"
0.00003        37   0.00001         8                                                        "<Anonymous>"
0.00001        15   0.00000         3                                                          "deparse"
0.00001        14   0.00000         0                                                            "%in%"
0.00001        11   0.00000         2                                                              "match"
0.00001        11   0.00000         3                                                                "mode"
0.00001         9   0.00000         5                                                                  "deparse"
0.00000         4   0.00000         0                                                                    ".deparseOpts"
0.00000         2   0.00000         1                                                                    "%in%"
0.00000         1   0.00000         0                                                                      "match"
0.00000         5   0.00000         3                                                          "conditionMessage"
0.00000         3   0.00000         0                                                            "conditionMessage.condition"
0.00000         4   0.00000         0                                                          "paste"
0.00000         3   0.00000         2                                                          "conditionCall"
0.00000         2   0.00000         0                                                            "conditionCall.condition"
0.00001         7   0.00000         0                                                        "simpleError"
0.00000         1   0.00000         1                                                          "structure"
0.00000         1   0.00000         0                                                            "%in%"
0.00007        90   0.00000         4                                                "pseudoinverse"
0.00007        86   0.00001        13                                                  "fast.svd"
0.00006        82   0.00004        47                                                    "positive.svd"
0.00005        69   0.00002        21                                                      "svd"
0.00001        10   0.00000         1                                                        "stop"
0.00000         1   0.00000         0                                                          ".makeMessage"
0.00001        10   0.00000         0                                                        "La.svd"
0.00000         2   0.00000         0                                                        "t"
0.00002        20   0.00000         0                                                "t"
0.00000         4   0.00000         0                                                "print"
0.00162      2091   0.00040       516                                              "vcv.phylo"
0.00045       587   0.00027       349                                                "reorder"
0.00029       368   0.00001        19                                                  "reorder.phylo"
0.00001        19   0.00000         0                                                    "match.arg"
0.00022       278   0.00000         4                                                "prop.part"
0.00000         4   0.00000         0                                                  ".uncompressTipLabel"
0.00002        23   0.00000         0                                                "numeric"
0.00079      1013   0.00013       169                                              "dmvnorm"
0.00042       537   0.00016       200                                                "mahalanobis"
0.00023       297   0.00010       126                                                  "solve"
0.00013       173   0.00004        46                                                    "solve.default"
0.00003        36   0.00000         1                                                      "diag"
0.00000         1   0.00000         0                                                        "array"
0.00000         4   0.00000         0                                                      "colnames<-"
0.00000         4   0.00000         0                                                      "rownames<-"
0.00000         2   0.00000         0                                                      "colnames"
0.00000         1   0.00000         0                                                      "as.matrix"
0.00007        96   0.00003        33                                                  "sweep"
0.00004        56   0.00001        18                                                    "aperm"
0.00002        27   0.00000         5                                                      "aperm.default"
0.00001        13   0.00000         6                                                        "order"
0.00001         8   0.00000         2                                                          "unlist"
0.00000         2   0.00000         0                                                            "lapply"
0.00000         4   0.00000         0                                                      "array"
0.00001         8   0.00000         0                                                    "match.fun"
0.00003        42   0.00000         0                                                  "rowSums"
0.00000         3   0.00000         1                                                  "rownames"
0.00000         1   0.00000         0                                                    "NROW"
0.00014       186   0.00003        33                                                "isSymmetric"
0.00014       179   0.00008       102                                                  "isSymmetric.matrix"
0.00011       146   0.00002        20                                                    "all.equal"
0.00003        44   0.00001        16                                                      "all.equal.numeric"
0.00002        24   0.00001         8                                                        "data.class"
0.00001         8   0.00000         0                                                          "t"
0.00006        71   0.00001        13                                                "eigen"
0.00001         7   0.00000         0                                                  "as.matrix"
0.00000         6   0.00000         0                                                  "rev"
0.00000         3   0.00000         0                                                "NCOL"
0.00000         2   0.00000         0                                                "NROW"
0.00040       511   0.00001        14                                              "ouMatrix"
0.00008       104   0.00002        20                                                "diag"
0.00007        95   0.00003        41                                                  "sapply"
0.00006        74   0.00001        19                                                    "simplify2array"
0.00003        34   0.00001        12                                                      "unique"
0.00001        12   0.00000         3                                                        "unlist"
0.00000         3   0.00000         0                                                          "lapply"
0.00000         3   0.00000         0                                                        "unique.default"
0.00000         1   0.00000         0                                                    "lapply"
0.00000         5   0.00000         0                                                "matrix"
0.00022       290   0.00005        63                                              "diag"
0.00020       263   0.00009       119                                                "sapply"
0.00015       198   0.00003        41                                                  "simplify2array"
0.00006        81   0.00003        34                                                    "unique"
0.00002        28   0.00000         6                                                      "unlist"
0.00000         6   0.00000         0                                                        "lapply"
0.00001        12   0.00000         0                                                      "unique.default"
0.00000         2   0.00000         0                                                  "lapply"
0.00004        49   0.00000         0                                              "diag<-"
0.00026       340   0.00005        70                                            "Lnl.noise"
0.00021       277   0.00004        54                                              "dmvnorm"
0.00012       152   0.00004        54                                                "mahalanobis"
0.00006        81   0.00002        32                                                  "solve"
0.00004        47   0.00001        14                                                    "solve.default"
0.00001         9   0.00000         0                                                      "diag"
0.00000         3   0.00000         1                                                      "rownames"
0.00000         1   0.00000         0                                                        "NROW"
0.00000         1   0.00000         0                                                      "colnames<-"
0.00000         1   0.00000         0                                                      "as.matrix"
0.00000         1   0.00000         0                                                      "rownames<-"
0.00002        29   0.00001        11                                                  "sweep"
0.00001        14   0.00000         1                                                    "aperm"
0.00001         7   0.00000         3                                                      "aperm.default"
0.00000         6   0.00000         2                                                        "order"
0.00000         3   0.00000         1                                                          "unlist"
0.00000         1   0.00000         0                                                            "lapply"
0.00000         4   0.00000         0                                                    "match.fun"
0.00001         7   0.00000         0                                                  "rowSums"
0.00000         2   0.00000         0                                                  "as.matrix"
0.00005        59   0.00000         6                                                "isSymmetric"
0.00005        59   0.00002        31                                                  "isSymmetric.matrix"
0.00004        53   0.00000         6                                                    "all.equal"
0.00002        22   0.00001        13                                                      "all.equal.numeric"
0.00001        16   0.00000         3                                                        "data.class"
0.00000         3   0.00000         0                                                          "t"
0.00002        24   0.00000         4                                                "eigen"
0.00000         2   0.00000         0                                                  "rev"
0.00000         2   0.00000         0                                                  "as.matrix"
0.00000         1   0.00000         0                                                "NROW"
0.00002        23   0.00000         0                                              "diag"
0.00000         6   0.00000         0                                              "diag<-"
0.00001        11   0.00000         3                                          "<Anonymous>"
0.00000         5   0.00000         1                                            "deparse"
0.00000         3   0.00000         0                                              "%in%"
0.00000         2   0.00000         2                                                "match"
0.00000         2   0.00000         0                                                  "mode"
0.00000         2   0.00000         0                                            "paste"
0.00000         1   0.00000         1                                              "conditionMessage"
0.00000         1   0.00000         0                                                "conditionMessage.condition"
0.00000         1   0.00000         1                                            "structure"
0.00000         1   0.00000         0                                              "%in%"
0.00000         1   0.00000         0                                          "simpleError"
0.00000         1   0.00000         1                                            "structure"
0.00000         1   0.00000         0                                              "%in%"
0.00013       162   0.00001        11                                  "phylogMean"
0.00008        98   0.00000         1                                    "try"
0.00008        98   0.00000         0                                      "tryCatch"
0.00008        97   0.00001        11                                        "tryCatchList"
0.00008        97   0.00003        33                                          "tryCatchOne"
0.00004        47   0.00000         4                                            "<Anonymous>"
0.00001        12   0.00000         2                                              "deparse"
0.00001         9   0.00000         2                                                "%in%"
0.00001         8   0.00000         2                                                  "match"
0.00000         6   0.00000         2                                                    "mode"
