   tot%      tot#     self%     self#  function
0.00007         3   0.00000         0  | | | | | | | | | | | | | | | | | | "*"
0.03296      1385   0.00773       325  | | | | | | | | | | | | | | | | | "states"
0.03213      1350   0.00171        72  | | | | | | | | | | | | | | | | | | "standardGeneric"
0.02361       992   0.01052       442  | | | | | | | | | | | | | | | | | | | "loadMethod"
0.02268       953   0.00290       122  | | | | | | | | | | | | | | | | | | | | "standardGeneric"
0.01216       511   0.00926       389  | | | | | | | | | | | | | | | | | | | | | "loadMethod"
0.00926       389   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | "assign"
0.00079        33   0.00000         0  | | | | | | | | | | | | | | | | | | | "states"
0.01080       454   0.00148        62  | | | | | | | | | | | | | | | | | "matrix"
0.00707       297   0.00133        56  | | | | | | | | | | | | | | | | | | "states"
0.00678       285   0.00048        20  | | | | | | | | | | | | | | | | | | | "standardGeneric"
0.00533       224   0.00247       104  | | | | | | | | | | | | | | | | | | | | "loadMethod"
0.00497       209   0.00074        31  | | | | | | | | | | | | | | | | | | | | | "standardGeneric"
0.00250       105   0.00176        74  | | | | | | | | | | | | | | | | | | | | | | "loadMethod"
0.00176        74   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | "assign"
0.00012         5   0.00000         0  | | | | | | | | | | | | | | | | | | | | "states"
0.00038        16   0.00000         0  | | | | | | | | | | | | | | | | | | "ceiling"
0.00036        15   0.00000         0  | | | | | | | | | | | | | | | | | | "/"
0.00033        14   0.00000         0  | | | | | | | | | | | | | | | | | | "as.vector"
0.00012         5   0.00000         0  | | | | | | | | | | | | | | | | | | "length"
0.00481       202   0.00093        39  | | | | | | | | | | | | | | | | | "timeSinceSpeciation"
0.00466       196   0.00026        11  | | | | | | | | | | | | | | | | | | "standardGeneric"
0.00364       153   0.00190        80  | | | | | | | | | | | | | | | | | | | "loadMethod"
0.00347       146   0.00043        18  | | | | | | | | | | | | | | | | | | | | "standardGeneric"
0.00157        66   0.00114        48  | | | | | | | | | | | | | | | | | | | | | "loadMethod"
0.00114        48   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | "assign"
0.00010         4   0.00000         0  | | | | | | | | | | | | | | | | | | | "timeSinceSpeciation"
0.00364       153   0.00112        47  | | | | | | | | | | | | | | | | | "nextstates"
0.00352       148   0.00014         6  | | | | | | | | | | | | | | | | | | "standardGeneric"
0.00231        97   0.00109        46  | | | | | | | | | | | | | | | | | | | "loadMethod"
0.00226        95   0.00033        14  | | | | | | | | | | | | | | | | | | | | "standardGeneric"
0.00117        49   0.00083        35  | | | | | | | | | | | | | | | | | | | | | "loadMethod"
0.00083        35   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | "assign"
0.00010         4   0.00000         0  | | | | | | | | | | | | | | | | | | | "nextstates"
0.00043        18   0.00000         0  | | | | | | | | | | | | | | | | | "!="
0.00036        15   0.00000         0  | | | | | | | | | | | | | | | | | "id<-"
0.00036        15   0.00000         0  | | | | | | | | | | | | | | | | | | "standardGeneric"
0.00036        15   0.00000         0  | | | | | | | | | | | | | | | | | | | "id<-"
0.00036        15   0.00000         0  | | | | | | | | | | | | | | | | | | | | "@<-"
0.00036        15   0.00000         0  | | | | | | | | | | | | | | | | | | | | | "slot<-"
0.00036        15   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | "checkSlotAssignment"
0.00033        14   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | "as"
0.00024        10   0.00010         4  | | | | | | | | | | | | | | | | | | | | | | | | ".classEnv"
0.00024        10   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | ".requirePackage"
0.00012         5   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | "%in%"
0.00012         5   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | "match"
0.00012         5   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | "loadedNamespaces"
0.00012         5   0.00002         1  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "ls"
0.00012         5   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "try"
0.00010         4   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "tryCatch"
0.00010         4   0.00010         4  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "tryCatchList"
0.00010         4   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "tryCatchOne"
0.00002         1   0.00002         1  | | | | | | | | | | | | | | | | | | | | | | | | | | "getNamespace"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | "as.name"
0.00010         4   0.00002         1  | | | | | | | | | | | | | | | | | | | | | | | | "getGeneric"
0.00010         4   0.00002         1  | | | | | | | | | | | | | | | | | | | | | | | | | ".getGeneric"
0.00002         1   0.00002         1  | | | | | | | | | | | | | | | | | | | | | | | | | | "%in%"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | "match"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | "exists"
0.00002         1   0.00002         1  | | | | | | | | | | | | | | | | | | | | | | | | | | ".cacheGeneric"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | ".cacheGenericTable"
0.00002         1   0.00002         1  | | | | | | | | | | | | | | | | | | | | | | | "getClass"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | "is.null"
0.00012         5   0.00000         0  | | | | | | | | | | | | | | | | | "+"
0.00012         5   0.00000         0  | | | | | | | | | | | | | | | | | "summarizeTaxonStates"
0.00007         3   0.00005         2  | | | | | | | | | | | | | | | | | | "data.frame"
0.00007         3   0.00000         0  | | | | | | | | | | | | | | | | | | | "as.data.frame"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | "as.data.frame.character"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | "factor"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | "sort.list"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | "match.arg"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | "eval"
0.00002         1   0.00002         1  | | | | | | | | | | | | | | | | | | | | | | | | | "deparse"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | ".deparseOpts"
0.00002         1   0.00002         1  | | | | | | | | | | | | | | | | | | "name"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | "standardGeneric"
0.00007         3   0.00000         0  | | | | | | | | | | | | | | | | | "-"
0.00007         3   0.00000         0  | | | | | | | | | | | | | | | | | "new"
0.00007         3   0.00000         0  | | | | | | | | | | | | | | | | | | "initialize"
0.00007         3   0.00000         0  | | | | | | | | | | | | | | | | | | | "standardGeneric"
0.00007         3   0.00002         1  | | | | | | | | | | | | | | | | | | | | "initialize"
0.00005         2   0.00000         0  | | | | | | | | | | | | | | | | | | | | | "validObject"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | "try"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | "tryCatch"
0.00002         1   0.00002         1  | | | | | | | | | | | | | | | | | | | | | | | | "tryCatchList"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | "tryCatchOne"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | "as"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | "getGeneric"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | ".getGeneric"
0.00002         1   0.00002         1  | | | | | | | | | | | | | | | | | | | | | | | | ".cacheGeneric"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | ".cacheGenericTable"
0.00007         3   0.00000         0  | | | | | | | | | | | | | | | | | "length"
0.00005         2   0.00000         0  | | | | | | | | | | | | | | | | | "warning"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | ".makeMessage"
0.00002         1   0.00002         1  | | | | | | | | | | | | | | | | | | | "lapply"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | "match.fun"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | ".signalSimpleWarning"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | "withRestarts"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | "makeRestartList"
0.00002         1   0.00002         1  | | | | | | | | | | | | | | | | | | | | | "makeRestart"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | "structure"
0.00005         2   0.00000         0  | | | | | | | | | | | | | | | | | "<="
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | ">"
0.00002         1   0.00002         1  | | | | | | | | | | | | | | | | | "id"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | "standardGeneric"
0.00002         1   0.00002         1  | | | | | | | | | | | | | | | | "data.frame"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | "as.data.frame"
0.00005         2   0.00000         0  | | | | | | | | | | | | | | "as.matrix"
0.00005         2   0.00005         2  | | | | | | | | | | | | | | | "["
0.00005         2   0.00000         0  | | | | | | | | | | | | | | | | "[.data.frame"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | "rownames"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | "dimnames"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | "dimnames"
0.00002         1   0.00002         1  | | | | | | | | | | | | | | | | | "dimnames.data.frame"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | "row.names"
0.21712      9124   0.00014         6  | | | | | | | | | | | | | "fitContinuousModel"
0.19195      8066   0.00002         1  | | | | | | | | | | | | | | "try"
0.19192      8065   0.00002         1  | | | | | | | | | | | | | | | "tryCatch"
0.19188      8063   0.00010         4  | | | | | | | | | | | | | | | | "tryCatchList"
0.19188      8063   0.00495       208  | | | | | | | | | | | | | | | | | "tryCatchOne"
0.17450      7333   0.00014         6  | | | | | | | | | | | | | | | | | | "doTryCatch"
0.16908      7105   0.00002         1  | | | | | | | | | | | | | | | | | | | "optim"
0.16891      7098   0.00014         6  | | | | | | | | | | | | | | | | | | | | "<Anonymous>"
0.16891      7098   0.00926       389  | | | | | | | | | | | | | | | | | | | | | "fn"
0.09381      3942   0.00169        71  | | | | | | | | | | | | | | | | | | | | | | "dmvnormPseudoinverse"
0.04224      1775   0.00005         2  | | | | | | | | | | | | | | | | | | | | | | | "isSymmetric"
0.04153      1745   0.00026        11  | | | | | | | | | | | | | | | | | | | | | | | | "isSymmetric.matrix"
0.04141      1740   0.00274       115  | | | | | | | | | | | | | | | | | | | | | | | | | "all.equal"
0.04119      1731   0.00040        17  | | | | | | | | | | | | | | | | | | | | | | | | | | "all.equal.numeric"
0.03822      1606   0.00269       113  | | | | | | | | | | | | | | | | | | | | | | | | | | | "attr.all.equal"
0.02415      1015   0.00010         4  | | | | | | | | | | | | | | | | | | | | | | | | | | | | "all.equal"
0.02394      1006   0.00119        50  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "all.equal.list"
0.02280       958   0.01049       441  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "all.equal"
0.01111       467   0.00026        11  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "all.equal.numeric"
0.00033        14   0.00014         6  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "data.class"
